digit,precision,recall,f1_score,support
0,0.9863013698630136,0.9795918367346939,0.9829351535836177,294.0
1,0.9854651162790697,0.9970588235294118,0.9912280701754386,340.0
2,0.956386292834891,0.9903225806451613,0.9730586370839936,310.0
3,0.9606557377049181,0.966996699669967,0.9638157894736842,303.0
4,0.9895104895104895,0.9593220338983051,0.9741824440619621,295.0
5,0.9731800766283525,0.9477611940298507,0.9603024574669187,268.0
6,0.9929078014184397,0.975609756097561,0.984182776801406,287.0
7,0.9735973597359736,0.9577922077922078,0.9656301145662848,308.0
8,0.9629629629629629,0.9794520547945206,0.9711375212224108,292.0
9,0.9449838187702265,0.9636963696369637,0.954248366013072,303.0
